iter	RMSE
0	19669.8967
1	18420.77476
2	17160.52228
3	16139.52935
4	15059.06526
5	14075.95114
6	13254.23656
7	12504.30702
8	11821.30497
9	11292.43796
10	10700.46388
11	10200.74293
12	9766.535685
13	9360.691646
14	8851.023669
15	8423.513607
16	8025.401578
17	7678.275452
18	7267.348678
19	6937.471809
20	6636.134393
21	6396.278371
22	6182.612951
23	5904.964226
24	5716.098793
25	5531.613693
26	5408.791221
27	5239.438782
28	5132.913945
29	4996.82152
30	4863.176024
31	4733.677851
32	4629.86519
33	4487.84493
34	4382.881155
35	4256.415239
36	4170.225741
37	4104.71207
38	4040.527111
39	3955.049082
40	3897.691049
41	3856.184848
42	3806.828044
43	3748.754359
44	3695.160653
45	3652.471708
46	3605.509606
47	3557.062484
48	3499.778191
49	3458.037859
50	3417.747286
51	3369.357815
52	3307.181878
53	3265.89336
54	3222.805099
55	3200.995617
56	3167.964646
57	3132.180416
58	3103.205329
59	3077.936278
60	3053.04212
61	3033.727473
62	3000.727062
63	2981.201889
64	2958.94311
65	2924.040236
66	2902.447266
67	2882.92303
68	2871.872521
69	2858.211878
70	2812.494662
71	2801.35836
72	2773.054918
73	2751.382489
74	2713.210313
75	2681.494491
76	2646.503786
77	2635.657827
78	2606.84014
79	2596.085027
80	2575.282061
81	2540.653769
82	2518.802011
83	2509.577341
84	2499.780358
85	2482.615046
86	2472.20303
87	2458.635592
88	2432.521389
89	2415.041448
90	2399.581354
91	2388.718962
92	2374.311924
93	2358.951306
94	2345.966747
95	2327.666716
96	2310.066524
97	2293.412268
98	2281.293523
99	2272.665585
