iter	Passed	Remaining
0	0	65
1	1	63
2	1	60
3	2	59
4	3	59
5	3	58
6	4	59
7	5	59
8	5	58
9	6	57
10	7	57
11	7	57
12	8	57
13	9	56
14	9	56
15	10	55
16	11	54
17	11	53
18	12	52
19	12	51
20	14	53
21	14	52
22	15	51
23	15	50
24	16	49
25	16	48
26	17	47
27	18	46
28	18	45
29	19	45
30	19	44
31	20	43
32	21	42
33	21	42
34	22	41
35	22	40
36	23	39
37	23	39
38	24	38
39	25	37
40	25	36
41	26	36
42	26	35
43	27	35
44	27	34
45	28	33
46	29	32
47	29	32
48	30	31
49	30	30
50	31	30
51	31	29
52	32	28
53	33	28
54	34	28
55	34	27
56	35	26
57	36	26
58	36	25
59	37	24
60	37	24
61	38	23
62	38	22
63	39	22
64	39	21
65	40	20
66	41	20
67	41	19
68	42	19
69	42	18
70	43	17
71	43	17
72	44	16
73	45	15
74	45	15
75	46	14
76	46	14
77	47	13
78	47	12
79	48	12
80	49	11
81	49	10
82	50	10
83	50	9
84	51	9
85	52	8
86	52	7
87	53	7
88	53	6
89	54	6
90	54	5
91	55	4
92	55	4
93	56	3
94	57	3
95	57	2
96	58	1
97	59	1
98	60	0
99	60	0
